"CANT. DE PARTICIPANTES","FEMENINO","MASCULINO","DEPARTAMENTO","PROVINCIA","DISTRITO","CENTRO POBLADO","COMUNIDAD CAMPESINA O NATIVA","NOMBRE DEL EVENTO","TRIMESTRE"
"1","0","1","PUNO ","AZÁNGARO ","SANTIAGO DE PUPUJA ","MATARO CHICO ","","REPOSICIÓN Y RECONSTITUCIÓN DE ACTAS","IV"
"1","0","1","PUNO","AZÁNGARO ","SANTIAGO DE PUPUJA","MATARO CHICO","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","0","1","PUNO","AZÁNGARO ","SANTIAGO DE PUPUJA ","MATARO CHICO ","","ATENCIÓN AL CIUDADANO","IV"
"1","0","1","CUSCO","LA CONVENCION","MEGANTONI","MIARIA","","INTEGRAL EN REGISTROS CIVILES","IV"
"2","2","0","LA LIBERTAD ","TRUJILLO ","MOCHE ","MIRAMAR ","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","1","0","LAMBAYEQUE","CHICLAYO ","LAGUNAS ","MOCUPE","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","1","0","LAMBAYEQUE","CHICLAYO ","LAGUNAS","MOCUPE","","ATENCIÓN AL CIUDADANO","IV"
"1","0","1","CUSCO","LA CONVENCION","VILCABAMBA","NARANJAL PALTAYBAMBA","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","PIURA","PIURA","CATACAOS","NARIHUALA","","ATENCIÓN AL CIUDADANO","IV"
"1","1","0","UCAYALI ","CORONEL PORTILLO ","YARINACOCHA ","NUEVA ESPERANZA DE PANAILLO ","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","CUSCO","LA CONVENCION","MEGANTONI","NUEVA LUZ","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","LA LIBERTAD ","VIRÚ","CHAO","NUEVO CHAO","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","1","0","LA LIBERTAD","VIRU","CHAO","NUEVO CHAO","","GRAFOTECNIA Y DACTILOSCOPÍA PARA REGISTRADORES CIVILES","IV"
"1","0","1","CUSCO","LA CONVENCION","MEGANTONI","NUEVO MUNDO","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","PIURA","HUANCABAMBA","HUARMACA","NUEVO SAN MARTIN","","ATENCIÓN AL USUARIO","IV"
"1","0","1","PIURA","HUANCABAMBA","HUARMACA","NUEVO SAN MARTIN","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","0","1","PIURA","HUANCABAMBA","HUARMACA","NUEVO SAN MARTIN","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","AMAZONAS","CONDORCANQUI","NIEVA","NUEVO SEASMI","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","AYACUCHO","HUAMANGA","VINCHOS","OPANCCA","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","LA LIBERTAD","JULCAN","CARABAMBA","PADAHUAMBO","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","CUSCO","LA CONVENCION","ECHARATE","PALMA REAL","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","CAJAMARCA","JAÉN","POMAHUACA","PALO BLANCO",". ","ATENCIÓN AL USUARIO","IV"
"1","1","0","LAMBAYEQUE ","CHICLAYO ","CHONGOYAPE ","PAMPA GRANDE","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","1","0","PIURA","MORROPON","SANTA CATALINA DE MOSSA","PAMPARUMBE","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","TUMBES ","TUMBES ","PAMPAS DE HOSPITAL ","PAMPAS DE HOSPITAL ","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
